Rank of % em relação a população geral;MUNICÍPIO;PRIMEIRA DOSE;POPULAÇÃO MUNICÍPIO 2020;% em relação a população geral
1;FLORINEA;4433;2402.0;1,8455
2;ADOLFO;4431;3133.0;1,4143
3;NOVA INDEPENDENCIA;5177;3693.0;1,4018
4;URU;1368;1020.0;1,3412
5;CAIUA;7304;5481.0;1,3326
6;ALVARO DE CARVALHO;6233;4690.0;1,329
7;BORA;929;708.0;1,3121
8;PARISI;2527;1943.0;1,3006
9;AGUAS DE SAO PEDRO;3899;3004.0;1,2979
10;SANTA CLARA D'OESTE;2407;1860.0;1,2941
11;ARCO-IRIS;2006;1555.0;1,29
12;TAIUVA;6525;5137.0;1,2702
13;DOLCINOPOLIS;2313;1824.0;1,2681
14;MENDONCA;6263;4973.0;1,2594
15;RIFAINA;4096;3255.0;1,2584
16;OLEO;2749;2188.0;1,2564
17;ILHA COMPRIDA;13166;10527.0;1,2507
18;TORRE DE PEDRA;2699;2167.0;1,2455
19;PEDRANOPOLIS;2717;2182.0;1,2452
20;PAULISTANIA;2001;1614.0;1,2398
21;TURMALINA;1886;1523.0;1,2383
22;COSMORAMA;8164;6596.0;1,2377
23;JERIQUARA;3484;2822.0;1,2346
24;PRESIDENTE BERNARDES;14677;11896.0;1,2338
25;MESOPOLIS;2064;1696.0;1,217
26;CASSIA DOS COQUEIROS;2662;2188.0;1,2166
27;RIBEIRAO BRANCO;18159;14953.0;1,2144
28;IGARATA;10655;8807.0;1,2098
29;LAGOINHA;5238;4350.0;1,2041
30;ALFREDO MARCONDES;4363;3625.0;1,2036
31;MOMBUCA;3685;3074.0;1,1988
32;REDENCAO DA SERRA;4002;3376.0;1,1854
33;MERIDIANO;4055;3426.0;1,1836
34;BADY BASSITT;19728;16699.0;1,1814
35;ONDA VERDE;4620;3913.0;1,1807
36;SANTA RITA D'OESTE;2557;2174.0;1,1762
37;IPIGUA;5832;4961.0;1,1756
38;CEDRAL;10060;8558.0;1,1755
39;SANTA SALETE;1655;1410.0;1,1738
40;CERQUEIRA CESAR;22398;19134.0;1,1706
41;ALVARES FLORENCE;3819;3267.0;1,169
42;NARANDIBA;5175;4432.0;1,1676
43;UBIRAJARA;5039;4320.0;1,1664
44;JARINU;33715;28980.0;1,1634
45;RIVERSUL;5626;4842.0;1,1619
46;MAIRINQUE;52946;45597.0;1,1612
47;LUCIANOPOLIS;2516;2170.0;1,1594
48;CAJAMAR;87020;75141.0;1,1581
49;PARDINHO;6921;5986.0;1,1562
50;TRES FRONTEIRAS;6049;5240.0;1,1544
51;ITAOCA;3527;3058.0;1,1534
52;SARUTAIA;3686;3198.0;1,1526
53;NOVA CANAA PAULISTA;1886;1639.0;1,1507
54;SAO BENTO DO SAPUCAI;11287;9814.0;1,1501
55;TAQUARIVAI;6088;5299.0;1,1489
56;SANTA MERCEDES;3026;2636.0;1,148
57;DIVINOLANDIA;11490;10011.0;1,1477
58;PACAEMBU;14708;12845.0;1,145
59;COLOMBIA;6493;5671.0;1,1449
60;CAPELA DO ALTO;22407;19607.0;1,1428
61;ITAPIRAPUA PAULISTA;4324;3788.0;1,1415
62;BERNARDINO DE CAMPOS;11751;10296.0;1,1413
63;RUBINEIA;3249;2849.0;1,1404
64;RIBEIRA;3380;2965.0;1,14
65;AGUAS DE SANTA BARBARA;6133;5382.0;1,1395
66;FERNAO;1752;1540.0;1,1377
67;PEDRA BELA;6208;5465.0;1,136
68;SANTANA DA PONTE PENSA;1492;1314.0;1,1355
69;APARECIDA D'OESTE;4189;3689.0;1,1355
70;INDIAPORA;3965;3495.0;1,1345
71;ARANDU;6542;5767.0;1,1344
72;TAPIRAI;7944;7007.0;1,1337
73;SANTA ERNESTINA;5589;4941.0;1,1311
74;MACEDONIA;3728;3299.0;1,13
75;TAQUARITUBA;24566;21773.0;1,1283
76;NATIVIDADE DA SERRA;6659;5906.0;1,1275
77;CAMPINA DO MONTE ALEGRE;5959;5304.0;1,1235
78;PRATANIA;5401;4810.0;1,1229
79;POPULINA;4158;3706.0;1,122
80;SANTO ANTONIO DO PINHAL;6911;6161.0;1,1217
81;MIRASSOLANDIA;4926;4396.0;1,1206
82;ASPASIA;1845;1648.0;1,1195
83;RIBEIRAO GRANDE;7823;7002.0;1,1173
84;TEJUPA;4368;3911.0;1,1168
85;FLORA RICA;1432;1283.0;1,1161
86;SAO JOAO DO PAU D'ALHO;2136;1914.0;1,116
87;ROSANA;16373;14675.0;1,1157
88;JACI;7309;6558.0;1,1145
89;NEVES PAULISTA;8947;8030.0;1,1142
90;TIMBURI;2638;2379.0;1,1089
91;ITABERA;17442;15731.0;1,1088
92;SAGRES;2368;2140.0;1,1065
93;REGISTRO;59190;53512.0;1,1061
94;ITANHAEM;110212;99656.0;1,1059
95;MAGDA;3034;2746.0;1,1049
